Company,TypeName,Inches,resolution_width,resolution_height,touchscreen,cpu_brand,cpu_name,cpu_speed,Ram,Memory,memory_type,primary_storage,secondary_storage,gpu_brand,OpSys,Weight,Price
Dell,Ultrabook,13.3,3200,1800,1,Intel,"Core i7",1.8,16,"512GB SSD",SSD,512,0,Intel,window,1.2,99580
Apple,Ultrabook,13.3,1440,900,0,Intel,"Core i5",1.6,8,"256GB Flash Storage","Flash Storage",256,0,Intel,macos,1.35,53173
Lenovo,Notebook,14.0,1366,768,0,Intel,"Celeron Dual",1.1,4,"64GB Flash Storage","Flash Storage",64,0,Intel,window,1.44,13267
Acer,Notebook,15.6,1366,768,0,Intel,"Core i3",2.7,4,"1TB HDD",HDD,1024,0,Intel,linux,2.1,19554
Dell,Notebook,17.3,1920,1080,0,Intel,"Core i5",1.6,8,"128GB SSD +  1TB HDD",Hybrid,128,1024,AMD,window,2.8,52161
HP,Notebook,15.6,1366,768,0,Intel,"Core i5",2.5,4,"1TB HDD",HDD,1024,0,Intel,window,1.86,26037
HP,Notebook,15.6,1920,1080,0,Intel,"Core i5",1.6,8,"256GB SSD",SSD,256,0,Nvidia,window,2.1,46833
Asus,Notebook,15.6,1920,1080,0,Intel,"Core i3",2.0,4,"1TB HDD",HDD,1024,0,Intel,linux,2,20726
Dell,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.8,16,"256GB SSD +  1TB HDD",Hybrid,256,1024,Nvidia,window,2.65,79867
Asus,Notebook,15.6,1366,768,0,Intel,"Core i5",2.5,8,"1TB HDD",HDD,1024,0,Nvidia,linux,2.3,27865
Acer,Notebook,15.6,1920,1080,0,Intel,"Core i5",1.6,4,"256GB SSD",SSD,256,0,Intel,window,2.2,36337
Dell,"2 in 1 Convertible",17.3,1920,1080,1,Intel,"Core i5",1.6,12,"1TB HDD",HDD,1024,0,Nvidia,window,2.77,53227
Apple,Ultrabook,13.3,2560,1600,0,Intel,"Core i5",2.0,8,"256GB SSD",SSD,256,0,Intel,macos,1.37,75604
Asus,Gaming,17.3,1920,1080,0,AMD,"Ryzen 1700",3.0,8,"256GB SSD +  1TB HDD",Hybrid,256,1024,AMD,window,3.2,69211
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i5",2.5,4,"256GB SSD",SSD,256,0,AMD,window,2.3,34046
Asus,Notebook,17.3,1366,768,0,Intel,"Pentium Quad",1.1,4,"1TB HDD",HDD,1024,0,Nvidia,window,2.8,24828
Acer,Notebook,15.6,1920,1080,0,Intel,"Core i7",1.8,8,"256GB SSD",SSD,256,0,Nvidia,window,2.2,44808
HP,Notebook,15.6,1920,1080,0,AMD,"A6-Series 9220",2.5,4,"256GB SSD",SSD,256,0,AMD,window,1.86,21232
HP,Notebook,13.3,1920,1080,0,Intel,"Core i7",1.8,8,"512GB SSD",SSD,512,0,Intel,window,1.49,58768
Acer,Notebook,15.6,1366,768,0,Intel,"Core i3",2.4,4,"1TB HDD",HDD,1024,0,Intel,window,2.4,20460
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i7",1.8,8,"256GB SSD",SSD,256,0,AMD,window,2.13,40908
HP,Notebook,15.6,1920,1080,0,Intel,"Core i3",2.0,4,"128GB SSD",SSD,128,0,Intel,window,1.91,23390
Asus,Notebook,15.6,1366,768,0,Intel,"Core i5",2.5,4,"256GB SSD",SSD,256,0,Intel,window,2,31232
MSI,Gaming,17.3,1920,1080,0,Intel,"Core i7",2.8,16,"256GB SSD +  2TB HDD",Hybrid,256,2048,Nvidia,window,2.43,130483
Asus,Notebook,15.6,1920,1080,0,Intel,"Core i3",2.0,4,"256GB SSD",SSD,256,0,Intel,linux,2,22111
Dell,Notebook,17.3,1920,1080,0,Intel,"Core i7",1.8,16,"256GB SSD +  2TB HDD",Hybrid,256,2048,AMD,window,2.8,69211
Dell,Ultrabook,14.0,1920,1080,0,Intel,"Core i5",1.6,8,"256GB SSD",SSD,256,0,Intel,window,1.7,46833
Lenovo,Notebook,14.0,1920,1080,0,Intel,"Core i3",2.7,8,"256GB SSD",SSD,256,0,Intel,N/A,1.7,31915
Asus,Notebook,14.0,1920,1080,0,Intel,"Core i5",1.6,8,"256GB SSD",SSD,256,0,Intel,window,1.4,50136
HP,Notebook,15.6,1920,1080,0,Intel,"Core i5",2.5,8,"256GB SSD",SSD,256,0,Intel,window,1.86,36763
Asus,Ultrabook,15.6,1920,1080,0,Intel,"Core i7",2.8,16,"512GB SSD",SSD,512,0,Nvidia,window,1.8,105654
HP,Notebook,15.6,1366,768,0,Intel,"Core i3",2.0,4,"500GB HDD",HDD,500,0,AMD,window,1.86,23373
HP,Notebook,14.0,1366,768,0,Intel,"Celeron Dual",1.6,4,"32GB SSD",SSD,32,0,Intel,window,1.44,12201
Lenovo,Notebook,15.6,1920,1080,0,Intel,"Core i5",2.5,4,"1TB HDD",HDD,1024,0,Intel,window,1.9,29251
Asus,Gaming,17.3,1920,1080,0,Intel,"Core i7",2.8,12,"1TB HDD",HDD,1024,0,Nvidia,linux,3,50563
Microsoft,Ultrabook,13.5,2256,1504,1,Intel,"Core i5",2.5,4,"128GB SSD",SSD,128,0,Intel,window,1.252,58022
Dell,Ultrabook,13.3,1920,1080,0,Intel,"Core i7",1.8,64,"256GB SSD",SSD,256,0,AMD,window,1.4,50882
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i7",1.8,8,"256GB SSD",SSD,256,0,AMD,window,2.2,46354
MSI,Gaming,17.3,1920,1080,0,Intel,"Core i5",2.5,8,"128GB SSD +  1TB HDD",Hybrid,128,1024,Nvidia,window,2.7,58342
Acer,Notebook,14.0,1366,768,0,Intel,"Core i3",2.0,8,"1TB HDD",HDD,1024,0,Intel,window,2.1,20726
Asus,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.8,8,"1TB HDD",HDD,1024,0,Nvidia,window,2.2,50563
Lenovo,Notebook,15.6,1920,1080,0,Intel,"Core i5",2.5,8,"2TB HDD",HDD,2048,0,Intel,N/A,2.2,27652
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i7",1.8,8,"128GB SSD +  1TB HDD",Hybrid,128,1024,Intel,window,2.02,45554
Acer,Notebook,15.6,1920,1080,0,Intel,"Core i3",2.7,4,"1TB HDD",HDD,1024,0,Nvidia,window,2.2,28238
HP,Notebook,17.3,1920,1080,0,Intel,"Core i5",1.6,8,"128GB SSD +  1TB HDD",Hybrid,128,1024,Nvidia,window,2.5,52055
Dell,Ultrabook,15.6,1920,1080,0,Intel,"Core i5",1.6,8,"256GB SSD",SSD,256,0,Intel,window,1.88,58403
Apple,Ultrabook,12.0,2304,1440,0,Intel,"Core i5",1.3,8,"512GB SSD",SSD,512,0,Intel,macos,0.92,80453
HP,Notebook,14.0,1920,1080,0,Intel,"Core i5",1.6,8,"256GB SSD",SSD,256,0,Intel,window,1.63,45821
Lenovo,Notebook,15.6,1920,1080,0,AMD,"A6-Series 9220",2.5,4,"128GB SSD",SSD,128,0,AMD,window,2.2,21259
Acer,Notebook,15.6,1366,768,0,AMD,"A9-Series 9420",3.0,4,"1TB HDD",HDD,1024,0,AMD,window,2.1,21046
Dell,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.8,16,"128GB SSD +  1TB HDD",Hybrid,128,1024,Nvidia,window,2.65,71875
HP,Ultrabook,15.6,1920,1080,0,Intel,"Core i7",1.8,8,"256GB SSD",SSD,256,0,Nvidia,window,1.83,37243
HP,Notebook,15.6,1920,1080,0,Intel,"Core i5",2.5,8,"256GB SSD",SSD,256,0,Intel,window,1.96,31914
Asus,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.8,16,"128GB SSD +  1TB HDD",Hybrid,128,1024,Nvidia,window,2.2,77203
Dell,Ultrabook,13.3,1920,1080,0,Intel,"Core i7",1.8,8,"256GB SSD",SSD,256,0,Intel,window,1.21,87859
Asus,Gaming,15.6,1920,1080,0,AMD,"FX 9830P",3.0,8,"1TB HDD",HDD,1024,0,AMD,window,2.45,37243
Acer,Notebook,15.6,1920,1080,0,Intel,"Core i7",1.8,2,"1TB HDD",HDD,1024,0,Nvidia,window,2.2,36710
HP,Notebook,13.3,1920,1080,0,Intel,"Core i7",1.8,16,"512GB SSD",SSD,512,0,Intel,window,1.49,63776
Dell,Gaming,15.6,1920,1080,0,Intel,"Core i5",2.5,8,"256GB SSD",SSD,256,0,Nvidia,window,2.65,63670
Asus,Ultrabook,14.0,1920,1080,0,Intel,"Core i7",2.7,8,"256GB SSD",SSD,256,0,Intel,window,1.25,55891
Acer,"2 in 1 Convertible",13.3,1920,1080,1,Intel,"Core i5",1.6,8,"256GB SSD",SSD,256,0,Intel,window,1.5,45128
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i7",2.7,8,"1TB HDD",HDD,1024,0,AMD,linux,2.2,31963
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i3",2.0,4,"256GB SSD",SSD,256,0,AMD,linux,2.2,25841
Asus,Notebook,15.6,1920,1080,0,Intel,"Core i3",2.4,6,"256GB SSD",SSD,256,0,Nvidia,window,2,30743
HP,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.8,12,"128GB SSD +  1TB HDD",Hybrid,128,1024,Nvidia,window,2.62,66547
HP,Notebook,15.6,1920,1080,0,Intel,"Core i7",2.7,8,"256GB SSD",SSD,256,0,AMD,window,1.91,38308
HP,Notebook,15.6,1920,1080,0,AMD,"E-Series E2-9000e",1.5,4,"500GB HDD",HDD,500,0,AMD,window,2.1,18595
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i5",1.6,8,"1TB HDD",HDD,1024,0,AMD,linux,2.2,34472
HP,Ultrabook,13.3,1920,1080,0,Intel,"Core i7",2.7,8,"256GB SSD",SSD,256,0,Nvidia,window,1.38,59620
Microsoft,Ultrabook,13.5,2256,1504,1,Intel,"Core i5",2.5,8,"256GB SSD",SSD,256,0,Intel,window,1.252,71395
HP,Notebook,14.0,1920,1080,0,Intel,"Core i5",2.5,6,"256GB SSD",SSD,256,0,Nvidia,window,1.58,35112
Lenovo,Notebook,15.6,1920,1080,0,Intel,"Core i3",2.0,4,"1TB HDD",HDD,1024,0,Intel,window,1.85,22106
Asus,Ultrabook,14.0,1920,1080,0,Intel,"Core i7",2.7,8,"256GB SSD",SSD,256,0,Nvidia,window,1.3,63563
MSI,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.8,16,"256GB SSD +  1TB HDD",Hybrid,256,1024,Nvidia,window,2.2,69211
Lenovo,Notebook,14.0,1920,1080,0,Intel,"Core i7",2.7,8,"256GB SSD",SSD,256,0,Intel,window,1.58,78854
Asus,Ultrabook,15.6,1920,1080,0,Intel,"Core i7",1.8,16,"256GB SSD +  1TB HDD",Hybrid,256,1024,Nvidia,window,1.5,67239
Dell,Ultrabook,13.3,3200,1800,1,Intel,"Core i7",2.4,8,"256GB SSD",SSD,256,0,Intel,window,1.23,73473
Lenovo,"2 in 1 Convertible",13.3,1920,1080,1,Intel,"Core i5",2.5,8,"256GB SSD",SSD,256,0,Intel,window,1.37,74539
HP,Notebook,14.0,1366,768,0,Intel,"Core i5",1.6,4,"500GB HDD",HDD,500,0,Intel,window,1.63,38468
Dell,Ultrabook,13.3,1920,1080,0,Intel,"Core i5",1.6,8,"256GB SSD",SSD,256,0,Intel,window,1.21,86793
HP,Notebook,14.0,1920,1080,0,Intel,"Core i7",1.8,8,"512GB SSD",SSD,512,0,Intel,window,1.63,57756
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i7",1.8,8,"256GB SSD +  1TB HDD",Hybrid,256,1024,Nvidia,window,2.16,60224
Asus,Notebook,17.3,1920,1080,0,Intel,"Core i3",2.0,4,"1TB HDD",HDD,1024,0,Nvidia,window,2,30050
Asus,Notebook,15.6,1920,1080,0,Intel,"Core i7",1.8,8,"256GB SSD",SSD,256,0,Nvidia,window,1.7,59567
Acer,Notebook,15.6,1920,1080,1,Intel,"Core i3",2.4,6,"1TB HDD",HDD,1024,0,Intel,window,2.1,25521
MSI,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.8,16,"256GB SSD +  2TB HDD",Hybrid,256,2048,Nvidia,window,1.8,119427
Lenovo,Notebook,15.6,1920,1080,0,Intel,"Core i5",2.5,8,"256GB SSD",SSD,256,0,Nvidia,N/A,2.2,33513
HP,Notebook,17.3,1920,1080,0,Intel,"Core i7",1.8,16,"512GB SSD",SSD,512,0,Nvidia,window,2.5,67719
Acer,Notebook,15.6,1366,768,0,AMD,"A9-Series 9420",3.0,4,"256GB SSD",SSD,256,0,AMD,window,2.1,24029
HP,Notebook,14.0,1920,1080,0,Intel,"Core i5",1.6,8,"1TB HDD",HDD,1024,0,Intel,window,1.63,43263
Asus,Notebook,14.0,1366,768,0,AMD,"E-Series 6110",1.5,4,"64GB SSD",SSD,64,0,AMD,window,1.65,14811
Dell,Notebook,17.3,1920,1080,0,Intel,"Core i7",1.8,16,"256GB SSD +  2TB HDD",Hybrid,256,2048,AMD,window,2.8,74379
HP,Notebook,17.3,1920,1080,0,Intel,"Core i5",1.6,8,"256GB SSD",SSD,256,0,Intel,window,2.5,49444
Dell,Notebook,15.6,1366,768,0,Intel,"Core i5",2.5,8,"1TB HDD",HDD,1024,0,AMD,window,2.36,34045
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i3",2.0,4,"1TB HDD",HDD,1024,0,AMD,window,2.2,23923
Acer,Ultrabook,14.0,1920,1080,0,Intel,"Core i7",1.8,8,"256GB SSD",SSD,256,0,Intel,window,1.6,47100
Acer,Notebook,15.6,1920,1080,0,Intel,"Core i3",2.7,4,"256GB SSD",SSD,256,0,Nvidia,window,7.2,30476
HP,Notebook,15.6,1366,768,0,Intel,"Core i7",2.7,8,"1TB HDD",HDD,1024,0,Intel,window,2.05,31861
HP,Notebook,14.0,1920,1080,0,Intel,"Core i7",1.8,8,"256GB SSD",SSD,256,0,Intel,window,1.63,52641
Lenovo,Notebook,15.6,1366,768,0,Intel,"Celeron Dual",1.1,4,"1TB HDD",HDD,1024,0,Intel,N/A,1.9,13446
Asus,Gaming,17.3,1920,1080,0,Intel,"Core i5",2.5,8,"128GB SSD +  1TB HDD",Hybrid,128,1024,Nvidia,window,3,49977
Lenovo,Notebook,15.6,1920,1080,0,Intel,"Core i5",2.5,4,"1TB HDD",HDD,1024,0,Nvidia,N/A,2.2,26587
HP,Notebook,13.3,1920,1080,0,Intel,"Core i5",2.5,4,"256GB SSD",SSD,256,0,Intel,window,1.32,37243
Acer,Notebook,17.3,1920,1080,0,Intel,"Core i3",2.7,4,"1TB HDD",HDD,1024,0,Nvidia,window,3,34898
Lenovo,Notebook,14.0,1920,1080,0,Intel,"Core i5",1.6,8,"256GB SSD",SSD,256,0,AMD,window,1.75,59462
Lenovo,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.8,8,"256GB SSD",SSD,256,0,Nvidia,N/A,2.4,46300
Toshiba,Notebook,15.6,1366,768,0,Intel,"Core i5",2.3,4,"500GB HDD",HDD,500,0,Intel,window,2.1,32075
HP,Notebook,15.6,1366,768,0,AMD,"A6-Series 9220",2.5,4,"256GB SSD",SSD,256,0,AMD,window,1.86,19660
Asus,Ultrabook,14.0,1920,1080,0,Intel,"Core i7",1.8,8,"256GB SSD",SSD,256,0,Intel,window,1.25,58555
HP,Ultrabook,12.5,3840,2160,1,Intel,"Core M",1.2,8,"512GB SSD",SSD,512,0,Intel,window,0.97,107306
Asus,Notebook,15.6,1920,1080,0,Intel,"Celeron Dual",1.1,4,"1TB HDD",HDD,1024,0,Intel,window,2,18328
Acer,Notebook,15.6,1366,768,0,Intel,"Core i3",2.0,4,"1TB HDD",HDD,1024,0,Intel,window,2.1,23816
Dell,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.8,16,"512GB SSD",SSD,512,0,Nvidia,window,2.56,66561
Dell,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.8,8,"1.0TB Hybrid",Hybrid,1024,0,Nvidia,window,2.62,47899
Lenovo,Notebook,15.6,1366,768,0,Intel,"Core i5",2.5,4,"128GB SSD",SSD,128,0,Intel,window,1.9,26533
MSI,Gaming,17.3,1920,1080,0,Intel,"Core i7",2.8,16,"256GB SSD +  1TB HDD",Hybrid,256,1024,Nvidia,window,2.8,100699
HP,Ultrabook,14.0,1920,1080,0,Intel,"Core i5",2.7,4,"256GB SSD",SSD,256,0,Intel,window,1.48,57649
HP,Notebook,15.6,1920,1080,0,Intel,"Core i5",1.6,6,"256GB SSD",SSD,256,0,AMD,window,1.91,32980
Lenovo,"2 in 1 Convertible",14.0,1920,1080,1,Intel,"Core i3",2.4,4,"256GB SSD",SSD,256,0,Intel,window,1.74,33513
Asus,"2 in 1 Convertible",13.3,1920,1080,1,Intel,"Core i5",1.6,8,"256GB SSD",SSD,256,0,Intel,window,1.1,70063
Dell,"2 in 1 Convertible",15.6,1920,1080,1,Intel,"Core i7",1.8,8,"256GB SSD",SSD,256,0,Intel,window,1.56,55891
Toshiba,Notebook,15.6,1366,768,0,Intel,"Core i3",2.2,4,"500GB HDD",HDD,500,0,Intel,window,2.1,23816
Asus,Notebook,15.6,1366,768,0,AMD,"A9-Series 9420",3.0,4,"1TB HDD",HDD,1024,0,AMD,window,2.03,21472
Acer,Notebook,17.3,1920,1080,0,Intel,"Core i5",1.6,4,"256GB SSD",SSD,256,0,Nvidia,window,3,42890
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i5",1.6,8,"256GB SSD",SSD,256,0,AMD,window,2.13,38788
Lenovo,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.8,16,"256GB SSD",SSD,256,0,Nvidia,window,2.5,57489
Acer,Notebook,15.6,1366,768,0,Intel,"Celeron Dual",1.1,4,"1TB HDD",HDD,1024,0,Intel,window,2.1,18541
MSI,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.8,16,"256GB SSD +  1TB HDD",Hybrid,256,1024,Nvidia,window,2.4,95851
Acer,Notebook,15.6,1366,768,0,Intel,"Pentium Quad",1.1,4,"1TB HDD",HDD,1024,0,Intel,window,2.1,19368
Dell,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.8,8,"128GB SSD +  1TB HDD",Hybrid,128,1024,Nvidia,window,2.56,56503
Acer,Notebook,17.3,1920,1080,0,Intel,"Core i5",1.6,8,"256GB SSD",SSD,256,0,Nvidia,window,3,45501
HP,Notebook,13.3,1920,1080,0,Intel,"Core i5",1.6,4,"500GB HDD",HDD,500,0,Intel,window,1.49,40173
Huawei,Ultrabook,13.0,2160,1440,0,Intel,"Core i5",2.5,8,"256GB SSD",SSD,256,0,Intel,window,1.05,71875
HP,Notebook,17.3,1920,1080,0,Intel,"Core i5",2.5,6,"2TB HDD",HDD,2048,0,AMD,window,2.71,37243
Lenovo,Notebook,15.6,1366,768,0,AMD,"A6-Series 9220",2.9,4,"500GB HDD",HDD,500,0,AMD,N/A,2.2,16464
Toshiba,Notebook,15.6,1366,768,0,Intel,"Core i3",2.4,4,"500GB HDD",HDD,500,0,Intel,window,5.4,26054
HP,Notebook,17.3,1920,1080,0,Intel,"Core i5",1.6,8,"256GB SSD",SSD,256,0,Nvidia,window,2.5,49177
Dell,Notebook,15.6,1366,768,0,Intel,"Core i3",2.4,8,"1TB HDD",HDD,1024,0,Intel,window,2.3,24456
Acer,Notebook,15.6,1366,768,0,Intel,"Core i3",2.0,4,"128GB SSD",SSD,128,0,Intel,window,2.1,23923
MSI,Gaming,18.4,1920,1080,0,Intel,"Core i7",2.9,32,"512GB SSD +  1TB HDD",Hybrid,512,1024,Nvidia,window,4.4,149131
Lenovo,Notebook,15.6,1920,1080,0,Intel,"Core i5",2.5,8,"128GB SSD +  1TB HDD",Hybrid,128,1024,AMD,window,1.90,43317
HP,"2 in 1 Convertible",13.3,3840,2160,1,Intel,"Core i5",1.6,8,"256GB SSD",SSD,256,0,Intel,window,1.29,79867
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i7",1.8,16,"256GB SSD +  2TB HDD",Hybrid,256,2048,AMD,linux,2.02,55891
Dell,Ultrabook,13.3,1920,1080,0,Intel,"Core i5",1.6,8,"256GB SSD",SSD,256,0,Intel,window,1.23,74539
Lenovo,"2 in 1 Convertible",13.9,3840,2160,1,Intel,"Core i7",1.8,16,"512GB SSD",SSD,512,0,Intel,window,1.4,98515
Toshiba,Notebook,15.6,1366,768,0,Intel,"Core i5",2.5,8,"128GB SSD",SSD,128,0,Intel,window,2.0,42251
Xiaomi,Notebook,15.6,1920,1080,0,Intel,"Core i5",1.6,8,"256GB SSD",SSD,256,0,Nvidia,N/A,1.95,63883
Dell,Notebook,17.3,1920,1080,1,Intel,"Core i7",1.8,16,"512GB SSD",SSD,512,0,Nvidia,window,2.77,82531
Dell,Notebook,15.6,3840,2160,1,Intel,"Core i7",2.8,16,"512GB SSD",SSD,512,0,Nvidia,window,2.06,127712
Lenovo,Gaming,15.6,1920,1080,0,Intel,"Core i5",2.5,8,"256GB SSD",SSD,256,0,Nvidia,N/A,2.4,41505
Acer,Ultrabook,13.3,1920,1080,0,Intel,"Core i5",1.2,8,"256GB SSD",SSD,256,0,Intel,window,1.12,52694
Dell,Notebook,17.3,1920,1080,0,Intel,"Core i7",1.8,8,"128GB SSD +  1TB HDD",Hybrid,128,1024,AMD,window,2.8,57809
Vero,Notebook,14.0,1920,1080,0,Intel,"Celeron Dual",1.1,4,"32GB Flash Storage","Flash Storage",32,0,Intel,window,1.3,13853
Xiaomi,Ultrabook,13.3,1920,1080,0,Intel,"Core i5",2.5,8,"256GB SSD",SSD,256,0,Nvidia,N/A,1.3,53275
Lenovo,Notebook,17.3,1600,900,0,Intel,"Core i5",1.6,8,"256GB SSD",SSD,256,0,Nvidia,N/A,2.8,37189
Dell,"2 in 1 Convertible",13.3,1920,1080,1,Intel,"Core i7",1.8,8,"1TB HDD",HDD,1024,0,Intel,window,1.62,44702
HP,Notebook,17.3,1920,1080,0,Intel,"Core i5",1.6,8,"1TB HDD",HDD,1024,0,Nvidia,window,2.5,48698
Razer,Gaming,17.3,3840,2160,1,Intel,"Core i7",2.9,32,"1TB SSD",SSD,1024,0,Nvidia,window,3.49,324955
HP,Notebook,13.3,1920,1080,0,Intel,"Core i5",1.6,8,"512GB SSD",SSD,512,0,Intel,window,1.49,51096
HP,Gaming,17.3,1920,1080,0,Intel,"Core i7",2.8,16,"256GB SSD +  1TB HDD",Hybrid,256,1024,Nvidia,window,3.35,73473
HP,Notebook,17.3,1920,1080,0,Intel,"Core i7",1.8,8,"256GB SSD",SSD,256,0,Nvidia,window,2.5,55678
Dell,Gaming,15.6,3840,2160,0,Intel,"Core i7",2.8,16,"512GB SSD +  1TB HDD",Hybrid,512,1024,Nvidia,window,2.65,98302
Lenovo,Notebook,15.6,1366,768,0,Intel,"Core i5",2.3,4,"128GB SSD",SSD,128,0,Intel,window,2.1,26267
Acer,Notebook,15.6,1920,1080,0,Intel,"Core i7",2.7,8,"1TB HDD",HDD,1024,0,Nvidia,window,2.23,39534
Lenovo,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.8,16,"512GB SSD +  1TB HDD",Hybrid,512,1024,Nvidia,window,3.2,93187
